id,smiles,canonical_smiles,mw,logp,tpsa,hbd,hba,rotatable_bonds,num_rings,num_aromatic_rings,qed,formula,sa_score,lipinski_violations,pains_alerts,toxicity_alerts,tpp_pass,notes,source,recipe,first_seen,fitness,docking_score,docking_scores,is_novel,pubchem_cid,chembl_id,chemical_name,retrosynthesis_route_found,retrosynthesis_n_routes
mut_2026-08-27_0006,COc1cc2c(C3CCOC3)ncnc2c(O)c1C1CCOC1,COc1cc2c(C3CCOC3)ncnc2c(O)c1C1CCOC1,316.36,2.35,73.7,1,6,3,4,2,0.937,C17H20N2O4,3.75,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7495,,,,,,,,
mut_2026-08-27_0011,COc1nc(C)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,COc1nc(C)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,329.4,2.65,65.5,1,6,4,4,2,0.93,C18H23N3O3,3.61,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7495,,,,,,,,
mut_2026-08-27_0001,COc1c(C2CCOC2)cc2ncnc(C3CCOC3)c2c1O,COc1c(C2CCOC2)cc2ncnc(C3CCOC3)c2c1O,316.36,2.35,73.7,1,6,3,4,2,0.937,C17H20N2O4,3.75,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7495,,,,,,,True,7
legacy_006,COc1ncnc2cc(C3CCOC3)c(NN3CCOCC3)cc12,COc1ncnc2cc(C3CCOC3)c(NN3CCOCC3)cc12,330.39,1.8,68.74,1,7,4,4,2,0.917,C17H22N4O3,3.39,0,,,True,Conforme au TPP,legacy,,,0.7475,,,,,,,,
mut_2026-08-27_0012,COc1c(C2CCOC2)c(F)c2c(OC)nc(O)nc2c1Cl,COc1c(C2CCOC2)c(F)c2c(OC)nc(O)nc2c1Cl,328.73,2.65,73.7,1,6,3,3,2,0.933,C14H14ClFN2O4,3.79,0,,,True,Conforme au TPP,generated,,2026-08-27,0.7435,,,,,,,,
legacy_008,COc1ncnc2c(O)c(OCF)c(OCF)cc12,COc1ncnc2c(O)c(OCF)c(OCF)cc12,272.21,1.96,73.7,1,6,5,2,2,0.896,C11H10F2N2O4,3.08,0,,,True,Conforme au TPP,legacy,,,0.742,,,,,,,,
legacy_001,COc1nc(C)nc2c(O)c(C3CCOC3)c(C3CCOC3)cc12,COc1nc(C)nc2c(O)c(C3CCOC3)c(C3CCOC3)cc12,330.38,2.66,73.7,1,6,3,4,2,0.933,C18H22N2O4,3.84,0,,,True,Conforme au TPP,legacy,,,0.741,,,,,,,,
legacy_003,Oc1c(C2CCOC2)c(OCF)cc2c(C3CCOC3)ncnc12,Oc1c(C2CCOC2)c(OCF)cc2c(C3CCOC3)ncnc12,334.35,2.65,73.7,1,6,4,4,2,0.927,C17H19FN2O4,3.99,0,,,True,Conforme au TPP,legacy,,,0.7275,,,,,,,,
mut_2026-08-27_0005,COc1ncnc2c(Cl)c(C3CCOC3)c(NC3CCOC3)cc12,COc1ncnc2c(Cl)c(C3CCOC3)c(NC3CCOC3)cc12,349.82,3.0,65.5,1,6,4,4,2,0.915,C17H20ClN3O3,3.8,0,,,True,Conforme au TPP,generated,,2026-08-27,0.725,,,,,,,,
legacy_010,c1nc(N2CCOCC2)c2cc(NC3CCOC3)c(C3CCOC3)cc2n1,c1nc(N2CCOCC2)c2cc(NC3CCOC3)c(C3CCOC3)cc2n1,370.45,2.17,68.74,1,7,4,5,2,0.884,C20H26N4O3,3.55,0,,,True,Conforme au TPP,legacy,,,0.7065,,,,,,,,
legacy_009,c1nc(C2CCOC2)c2cc(NN3CCOCC3)c(C3CCOC3)cc2n1,c1nc(C2CCOC2)c2cc(NN3CCOCC3)c(C3CCOC3)cc2n1,370.45,2.3,68.74,1,7,4,5,2,0.886,C20H26N4O3,3.84,0,,,True,Conforme au TPP,legacy,,,0.694,,,,,,,,
mut_2026-08-27_0016,COc1nc(F)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,COc1nc(F)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,333.36,2.48,65.5,1,6,4,4,2,0.867,C17H20FN3O3,3.78,0,,,True,Conforme au TPP,generated,,2026-08-27,0.678,,,,,,,,
mut_2026-08-27_0010,COc1nc(Cl)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,COc1nc(Cl)nc2cc(C3CCOC3)c(NC3CCOC3)cc12,349.82,3.0,65.5,1,6,4,4,2,0.856,C17H20ClN3O3,3.65,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6735,,,,,,,True,5
legacy_011,COc1c(C2CCOC2)cc2nc(F)nc(C3CCOC3)c2c1O,COc1c(C2CCOC2)cc2nc(F)nc(C3CCOC3)c2c1O,334.35,2.49,73.7,1,6,3,4,2,0.87,C17H19FN2O4,3.96,0,,,True,Conforme au TPP,legacy,,,0.672,,,,,,,,
legacy_012,c1nc(N2CCOCC2)c2cc(NC3CCOC3)c(OC3CCOC3)cc2n1,c1nc(N2CCOCC2)c2cc(NC3CCOC3)c(OC3CCOC3)cc2n1,386.45,1.83,77.97,1,8,5,5,2,0.834,C20H26N4O4,3.48,0,,,True,Conforme au TPP,legacy,,,0.66,,,,,,,,
gen_quinolinepyrimidyl_fluorophenyl_oxetanylmethoxy,Fc1ccc(Nc2cc(OCC3COC3)nc3ccccc23)cc1,Fc1ccc(Nc2cc(OCC3COC3)nc3ccccc23)cc1,324.36,4.14,43.38,1,4,5,4,3,0.766,C19H17FN2O2,2.22,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinolinepyrimidyl', 'aniline': 'fluorophenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.655,,,,,,,,
gen_pyridopyrimidine_fluorophenyl_oxetanylmethoxy,Fc1ccc(Nc2ncnc3ncc(OCC4COC4)cc23)cc1,Fc1ccc(Nc2ncnc3ncc(OCC4COC4)cc23)cc1,326.33,2.93,69.16,1,6,5,4,3,0.777,C17H15FN4O2,2.47,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.6535,,,,,,,,
mut_2026-08-27_0002,Clc1c(C2CCOC2)c(NC2CCOC2)cc2c(N3CCOCC3)ncnc12,Clc1c(C2CCOC2)c(NC2CCOC2)cc2c(N3CCOCC3)ncnc12,404.9,2.82,68.74,1,7,4,5,2,0.84,C20H25ClN4O3,3.75,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6525,,,,,,,True,6
mut_2026-08-27_0006,COc1cc2c(OC)nc(Br)nc2c(O)c1OC1CCOC1,COc1cc2c(OC)nc(Br)nc2c(O)c1OC1CCOC1,371.19,2.28,82.93,1,7,4,3,2,0.826,C14H15BrN2O5,3.47,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6525,,,,,,,,
gen_pyrrolopyrimidine_fluorophenyl_oxetanylmethoxy,Fc1ccc(Nc2ncnc3c2ccn3OCC2COC2)cc1,Fc1ccc(Nc2ncnc3c2ccn3OCC2COC2)cc1,314.32,2.39,61.2,1,5,5,4,3,0.783,C16H15FN4O2,2.73,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyrrolopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.6465,,,,,,,,
mut_2026-08-27_0003,c1nc(C2CCOC2)c2cc(C3CCOC3)c(OC3CCOC3)cc2n1,c1nc(C2CCOC2)c2cc(C3CCOC3)c(OC3CCOC3)cc2n1,356.42,2.81,62.7,0,6,4,5,2,0.839,C20H24N2O4,3.89,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6445,,,,,,,,
gen_quinazoline_methylphenyl_dimethylaminoethoxy,Cc1cccc(Nc2ncnc3cccc(OCCN(C)C)c23)c1,Cc1cccc(Nc2ncnc3cccc(OCCN(C)C)c23)c1,322.41,3.62,50.28,1,5,6,3,3,0.751,C19H22N4O,2.15,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'methylphenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.6435,,,,,,,,
mut_2026-08-27_0004,Clc1ccc(Nc2ncnc3c2ccn3OCC2COC2)cc1,Clc1ccc(Nc2ncnc3c2ccn3OCC2COC2)cc1,330.78,2.9,61.2,1,5,5,4,3,0.779,C16H15ClN4O2,2.73,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6425,,,,,,,,
gen_pyridopyrimidine_difluorophenyl_tetrahydropyranyloxy,Fc1ccc(Nc2ncnc3ncc(OC4CCOCC4)cc23)cc1F,Fc1ccc(Nc2ncnc3ncc(OC4CCOCC4)cc23)cc1F,358.35,3.6,69.16,1,6,4,4,3,0.768,C18H16F2N4O2,2.56,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'difluorophenyl', 'solubilizer': 'tetrahydropyranyloxy'}",2026-08-27,0.64,,,,,,,,
legacy_015,COc1nc(C)nc2c(O)c(NC3CCOC3)c(OCF)cc12,COc1nc(C)nc2c(O)c(NC3CCOC3)c(OCF)cc12,323.32,2.16,85.73,2,7,5,3,2,0.815,C15H18FN3O4,3.55,0,,catechol,True,Conforme au TPP,legacy,,,0.6375,,,,,,,,
gen_pyridopyrimidine_methylphenyl_dimethylaminoethoxy,Cc1cccc(Nc2ncnc3ncc(OCCN(C)C)cc23)c1,Cc1cccc(Nc2ncnc3ncc(OCCN(C)C)cc23)c1,323.4,3.02,63.17,1,6,6,3,3,0.752,C18H21N5O,2.33,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'methylphenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.6355,,,,,,,,
mut_2026-08-27_0013,c1ccc(Nc2ncnc3c2ccn3OCCN2CCC2)cc1,c1ccc(Nc2ncnc3c2ccn3OCCN2CCC2)cc1,309.37,2.31,55.21,1,5,6,4,3,0.757,C17H19N5O,2.48,0,,,True,Conforme au TPP,generated,,2026-08-27,0.633,,,,,,,,
gen_quinazoline_cyanophenyl_dimethylaminoethoxy,CN(C)CCOc1cccc2ncnc(Nc3cccc(C#N)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3cccc(C#N)c3)c12,333.4,3.19,74.07,1,6,6,3,3,0.747,C19H19N5O,2.3,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'cyanophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.632,,,,,,,,
gen_pyridopyrimidine_fluorophenyl_azetidinylethoxy,Fc1ccc(Nc2ncnc3ncc(OCCN4CCC4)cc23)cc1,Fc1ccc(Nc2ncnc3ncc(OCCN4CCC4)cc23)cc1,339.37,2.99,63.17,1,6,6,4,3,0.745,C18H18FN5O,2.28,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.631,,,,,,,,
gen_quinazoline_difluorophenyl_dimethylaminoethoxy,CN(C)CCOc1cccc2ncnc(Nc3ccc(F)c(F)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3ccc(F)c(F)c3)c12,344.37,3.59,50.28,1,5,6,3,3,0.74,C18H18F2N4O,2.24,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'difluorophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.628,,,,,,,,
gen_pyrrolopyrimidine_fluorophenyl_azetidinylethoxy,Fc1ccc(Nc2ncnc3c2ccn3OCCN2CCC2)cc1,Fc1ccc(Nc2ncnc3c2ccn3OCCN2CCC2)cc1,327.36,2.45,55.21,1,5,6,4,3,0.754,C17H18FN5O,2.53,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyrrolopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.6275,,,,,,,,
gen_thienopyrimidine_methylphenyl_dimethylaminoethoxy,Cc1cccc(Nc2ncnc3scc(OCCN(C)C)c23)c1,Cc1cccc(Nc2ncnc3scc(OCCN(C)C)c23)c1,328.44,3.68,50.28,1,6,6,3,3,0.748,C17H20N4OS,2.44,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'methylphenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.626,,,,,,,,
gen_quinazoline_chlorophenyl_dimethylaminoethoxy,CN(C)CCOc1cccc2ncnc(Nc3cccc(Cl)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3cccc(Cl)c3)c12,342.83,3.97,50.28,1,5,6,3,3,0.734,C18H19ClN4O,2.16,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'chlorophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.626,,,,,,,,
gen_quinolinepyrimidyl_cyanophenyl_azetidinylethoxy,N#Cc1cccc(Nc2cc(OCCN3CCC3)nc3ccccc23)c1,N#Cc1cccc(Nc2cc(OCCN3CCC3)nc3ccccc23)c1,344.42,3.93,61.18,1,5,6,4,3,0.734,C21H20N4O,2.23,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinolinepyrimidyl', 'aniline': 'cyanophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.6225,,,,,,,,
gen_thienopyrimidine_fluorophenyl_azetidinylethoxy,Fc1ccc(Nc2ncnc3scc(OCCN4CCC4)c23)cc1,Fc1ccc(Nc2ncnc3scc(OCCN4CCC4)c23)cc1,344.42,3.66,50.28,1,6,6,4,3,0.739,C17H17FN4OS,2.37,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.6205,,,,,,,,
mut_2026-08-27_0008,COc1nc(C)nc2c(O)c(NC3CCOC3)c(OCF)c(F)c12,COc1nc(C)nc2c(O)c(NC3CCOC3)c(OCF)c(F)c12,341.31,2.3,85.73,2,7,5,3,2,0.807,C15H17F2N3O4,3.75,0,,catechol,True,Conforme au TPP,generated,,2026-08-27,0.6195,,,,,,,,
gen_pyridopyrimidine_methylphenyl_pyrrolidinylethoxy,Cc1cccc(Nc2ncnc3ncc(OCCN4CCCC4)cc23)c1,Cc1cccc(Nc2ncnc3ncc(OCCN4CCCC4)cc23)c1,349.44,3.55,63.17,1,6,6,4,3,0.734,C20H23N5O,2.31,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'methylphenyl', 'solubilizer': 'pyrrolidinylethoxy'}",2026-08-27,0.6185,,,,,,,,
gen_quinazoline_difluorophenyl_azetidinylethoxy,Fc1ccc(Nc2ncnc3cccc(OCCN4CCC4)c23)cc1F,Fc1ccc(Nc2ncnc3cccc(OCCN4CCC4)c23)cc1F,356.38,3.74,50.28,1,5,6,4,3,0.729,C19H18F2N4O,2.22,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'difluorophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.618,,,,,,,,
gen_pyridopyrimidine_cyanophenyl_dimethylaminoethoxy,CN(C)CCOc1cnc2ncnc(Nc3cccc(C#N)c3)c2c1,CN(C)CCOc1cnc2ncnc(Nc3cccc(C#N)c3)c2c1,334.38,2.58,86.96,1,7,6,3,3,0.741,C18H18N6O,2.47,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyridopyrimidine', 'aniline': 'cyanophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.6175,,,,,,,,
gen_imidazopyridine_cyanophenyl_azetidinylethoxy,N#Cc1cccc(Nc2cnc3cccc(OCCN4CCC4)n23)c1,N#Cc1cccc(Nc2cnc3cccc(OCCN4CCC4)n23)c1,333.4,3.03,65.59,1,5,6,4,3,0.751,C19H19N5O,2.69,0,,,True,Conforme au TPP,generated,"{'scaffold': 'imidazopyridine', 'aniline': 'cyanophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.6165,,,,,,,,
mut_2026-08-27_0010,Cc1c(C#N)cccc1Nc1ncnc2cccc(OCCN(C)C)c12,Cc1c(C#N)cccc1Nc1ncnc2cccc(OCCN(C)C)c12,347.42,3.49,74.07,1,6,6,3,3,0.736,C20H21N5O,2.46,0,,,True,Conforme au TPP,generated,,2026-08-27,0.613,,,,,,,True,5
legacy_013,Fc1c(OC2CCOC2)c(C2CCOC2)cc2c(C3CCOC3)ncnc12,Fc1c(OC2CCOC2)c(C2CCOC2)cc2c(C3CCOC3)ncnc12,374.41,2.94,62.7,0,6,4,5,2,0.82,C20H23FN2O4,4.15,0,,,False,SA score 4.15 > 4.0,legacy,,,0.6125,,,,,,,,
gen_pyrrolopyrimidine_cyanophenyl_dimethylaminoethoxy,CN(C)CCOn1ccc2c(Nc3cccc(C#N)c3)ncnc21,CN(C)CCOn1ccc2c(Nc3cccc(C#N)c3)ncnc21,322.37,2.04,79.0,1,6,6,3,3,0.748,C17H18N6O,2.74,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyrrolopyrimidine', 'aniline': 'cyanophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.611,,,,,,,,
gen_thienopyrimidine_difluorophenyl_dimethylaminoethoxy,CN(C)CCOc1csc2ncnc(Nc3ccc(F)c(F)c3)c12,CN(C)CCOc1csc2ncnc(Nc3ccc(F)c(F)c3)c12,350.39,3.65,50.28,1,6,6,3,3,0.735,C16H16F2N4OS,2.52,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'difluorophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.609,,,,,,,,
gen_imidazopyridine_methylphenyl_morpholinoethoxy,Cc1cccc(Nc2cnc3cccc(OCCN4CCOCC4)n23)c1,Cc1cccc(Nc2cnc3cccc(OCCN4CCOCC4)n23)c1,352.44,3.1,51.03,1,5,6,4,3,0.739,C20H24N4O2,2.61,0,,,True,Conforme au TPP,generated,"{'scaffold': 'imidazopyridine', 'aniline': 'methylphenyl', 'solubilizer': 'morpholinoethoxy'}",2026-08-27,0.6085,,,,,,,,
mut_2026-08-27_0005,Clc1nc(N2CCOCC2)c2cc(NC3CCOC3)c(C3CCOC3)cc2n1,Clc1nc(N2CCOCC2)c2cc(NC3CCOC3)c(C3CCOC3)cc2n1,404.9,2.82,68.74,1,7,4,5,2,0.786,C20H25ClN4O3,3.63,0,,,True,Conforme au TPP,generated,,2026-08-27,0.6045,,,,,,,,
gen_thienopyrimidine_fluorophenyl_pyrrolidinylethoxy,Fc1ccc(Nc2ncnc3scc(OCCN4CCCC4)c23)cc1,Fc1ccc(Nc2ncnc3scc(OCCN4CCCC4)c23)cc1,358.44,4.05,50.28,1,6,6,4,3,0.72,C18H19FN4OS,2.37,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'pyrrolidinylethoxy'}",2026-08-27,0.6015,,,,,,,,
gen_pyrrolopyrimidine_bromophenyl_oxetanylmethoxy,Brc1cccc(Nc2ncnc3c2ccn3OCC2COC2)c1,Brc1cccc(Nc2ncnc3c2ccn3OCC2COC2)c1,375.23,3.01,61.2,1,5,5,4,3,0.743,C16H15BrN4O2,2.84,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyrrolopyrimidine', 'aniline': 'bromophenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.601,,,,,,,,
gen_thienopyrimidine_difluorophenyl_azetidinylethoxy,Fc1ccc(Nc2ncnc3scc(OCCN4CCC4)c23)cc1F,Fc1ccc(Nc2ncnc3scc(OCCN4CCC4)c23)cc1F,362.41,3.8,50.28,1,6,6,4,3,0.723,C17H16F2N4OS,2.48,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'difluorophenyl', 'solubilizer': 'azetidinylethoxy'}",2026-08-27,0.599,,,,,,,,
gen_triazolopyrimidine_trifluoromethylphenyl_tetrahydropyranyloxy,FC(F)(F)c1cccc(Nc2ncnc3c2nnn3OC2CCOCC2)c1,FC(F)(F)c1cccc(Nc2ncnc3c2nnn3OC2CCOCC2)c1,380.33,2.59,86.98,1,7,4,4,3,0.744,C16H15F3N6O2,2.9,0,,,True,Conforme au TPP,generated,"{'scaffold': 'triazolopyrimidine', 'aniline': 'trifluoromethylphenyl', 'solubilizer': 'tetrahydropyranyloxy'}",2026-08-27,0.599,,,,,,,,
gen_pyrrolopyrimidine_dimethylaminophenyl_oxetanylmethoxy,CN(C)c1cccc(Nc2ncnc3c2ccn3OCC2COC2)c1,CN(C)c1cccc(Nc2ncnc3c2ccn3OCC2COC2)c1,339.4,2.32,64.44,1,6,6,4,3,0.743,C18H21N5O2,2.89,0,,,True,Conforme au TPP,generated,"{'scaffold': 'pyrrolopyrimidine', 'aniline': 'dimethylaminophenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.5985,,,,,,,,
gen_imidazopyridine_difluorophenyl_pyrrolidinylethoxy,Fc1ccc(Nc2cnc3cccc(OCCN4CCCC4)n23)cc1F,Fc1ccc(Nc2cnc3cccc(OCCN4CCCC4)n23)cc1F,358.39,3.83,41.8,1,4,6,4,3,0.727,C19H20F2N4O,2.63,0,,,True,Conforme au TPP,generated,"{'scaffold': 'imidazopyridine', 'aniline': 'difluorophenyl', 'solubilizer': 'pyrrolidinylethoxy'}",2026-08-27,0.5955,,,,,,,,
gen_quinolinepyrimidyl_ethynylphenyl_oxetanylmethoxy,C#Cc1cccc(Nc2cc(OCC3COC3)nc3ccccc23)c1,C#Cc1cccc(Nc2cc(OCC3COC3)nc3ccccc23)c1,330.39,3.98,43.38,1,4,5,4,3,0.719,C21H18N2O2,2.51,0,,triple_bond,True,Conforme au TPP,generated,"{'scaffold': 'quinolinepyrimidyl', 'aniline': 'ethynylphenyl', 'solubilizer': 'oxetanylmethoxy'}",2026-08-27,0.5935,,,,,,,,
mut_2026-08-27_0006,CN(C)CCOc1cccc2ncnc(Nc3cc(Cl)cc(C#N)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3cc(Cl)cc(C#N)c3)c12,367.84,3.84,74.07,1,6,6,3,3,0.713,C19H18ClN5O,2.45,0,,,True,Conforme au TPP,generated,,2026-08-27,0.5905,,,,,,,,
gen_triazolopyrimidine_difluorophenyl_dimethylaminoethoxy,CN(C)CCOn1nnc2c(Nc3ccc(F)c(F)c3)ncnc21,CN(C)CCOn1nnc2c(Nc3ccc(F)c(F)c3)ncnc21,335.32,1.23,80.99,1,7,6,3,3,0.726,C14H15F2N7O,2.78,0,,,True,Conforme au TPP,generated,"{'scaffold': 'triazolopyrimidine', 'aniline': 'difluorophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.587,,,,,,,,
gen_quinazoline_bromophenyl_dimethylaminoethoxy,CN(C)CCOc1cccc2ncnc(Nc3cccc(Br)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3cccc(Br)c3)c12,387.28,4.08,50.28,1,5,6,3,3,0.691,C18H19BrN4O,2.22,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'bromophenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.58,,,,,,,,
gen_quinazoline_trifluoromethylphenyl_dimethylaminoethoxy,CN(C)CCOc1cccc2ncnc(Nc3cccc(C(F)(F)F)c3)c12,CN(C)CCOc1cccc2ncnc(Nc3cccc(C(F)(F)F)c3)c12,376.38,4.33,50.28,1,5,6,3,3,0.694,C19H19F3N4O,2.29,0,,,True,Conforme au TPP,generated,"{'scaffold': 'quinazoline', 'aniline': 'trifluoromethylphenyl', 'solubilizer': 'dimethylaminoethoxy'}",2026-08-27,0.5795,,,,,,,,
gen_thienopyrimidine_fluorophenyl_methylpiperazinylethoxy,CN1CCN(CCOc2csc3ncnc(Nc4ccc(F)cc4)c23)CC1,CN1CCN(CCOc2csc3ncnc(Nc4ccc(F)cc4)c23)CC1,387.48,3.2,53.52,1,7,6,4,3,0.701,C19H22FN5OS,2.44,0,,,True,Conforme au TPP,generated,"{'scaffold': 'thienopyrimidine', 'aniline': 'fluorophenyl', 'solubilizer': 'methylpiperazinylethoxy'}",2026-08-27,0.579,,,,,,,,
